threshold,iou
0.01,0.17177616083814293
0.014723618090452261,0.1870510086770602
0.01944723618090452,0.20010149059149213
0.024170854271356783,0.21170134413551833
0.028894472361809045,0.22195349910575204
0.03361809045226131,0.23126036064078528
0.038341708542713564,0.2399110630974663
0.043065326633165826,0.2479697257175026
0.04778894472361809,0.2556493138867172
0.05251256281407035,0.2628618950799792
0.057236180904522614,0.2693885954652948
0.06195979899497487,0.27558454214045447
0.06668341708542713,0.2814933805015838
0.07140703517587939,0.2871634622785278
0.07613065326633164,0.29253524672708964
0.08085427135678391,0.297585701803978
0.08557788944723617,0.30244400852766745
0.09030150753768842,0.3074672331556375
0.0950251256281407,0.312345842816658
0.09974874371859295,0.31660387932376477
0.10447236180904522,0.32081978450776016
0.10919597989949748,0.3249810716989757
0.11391959798994973,0.3287427536231884
0.118643216080402,0.3324501510351974
0.12336683417085426,0.33625007453342076
0.12809045226130653,0.3399934998185996
0.1328140703517588,0.343471085772048
0.13753768844221106,0.3470132751945503
0.1422613065326633,0.35053851322412444
0.14698492462311558,0.3539076959818497
0.15170854271356785,0.3571460218873731
0.1564321608040201,0.3601601381456231
0.16115577889447236,0.36334911159722993
0.16587939698492463,0.36639762107051826
0.17060301507537687,0.3693970162322355
0.17532663316582914,0.37226150063384295
0.1800502512562814,0.37521169138190413
0.18477386934673365,0.37786576021602003
0.18949748743718592,0.3807287349970838
0.1942211055276382,0.38321074200943556
0.19894472361809046,0.38559736380319615
0.2036683417085427,0.3881766959657426
0.20839195979899497,0.39071094187173294
0.21311557788944724,0.3931802845220553
0.21783919597989948,0.39534948301876316
0.22256281407035175,0.397946126688211
0.22728643216080402,0.4001516100326291
0.23201005025125626,0.4026170726959362
0.23673366834170853,0.40488876761119647
0.2414572864321608,0.4073761070921506
0.24618090452261304,0.4098151440609854
0.2509045226130653,0.41173930749567
0.2556281407035176,0.41394352752649777
0.2603517587939698,0.41614107863129396
0.2650753768844221,0.4182139699381079
0.26979899497487436,0.4202616860273834
0.2745226130653266,0.4220977466985387
0.2792462311557789,0.4242032066886472
0.28396984924623114,0.42615184911280857
0.2886934673366834,0.42781884435190004
0.2934170854271357,0.4294915467418533
0.2981407035175879,0.43126526778977803
0.30286432160804017,0.43310829832100156
0.30758793969849246,0.4345224420449749
0.3123115577889447,0.4363426112679844
0.31703517587939695,0.43793795689557213
0.32175879396984924,0.439570789281709
0.3264824120603015,0.4412602271607102
0.3312060301507537,0.44279796399532867
0.335929648241206,0.4443908844600322
0.34065326633165827,0.4460369490807327
0.3453768844221105,0.44756965857487246
0.3501005025125628,0.4492435609607509
0.35482412060301505,0.45065285702941543
0.3595477386934673,0.4520882418378582
0.3642713567839196,0.4534192127465544
0.36899497487437183,0.4546686816482857
0.37371859296482407,0.4561223365066105
0.37844221105527637,0.45741157537521426
0.3831658291457286,0.4584007124610373
0.3878894472361809,0.4595487747408106
0.39261306532663315,0.4604873025548763
0.3973366834170854,0.4616130432972275
0.4020603015075377,0.4630980084829414
0.40678391959798993,0.46429129739414854
0.41150753768844217,0.46538452242846096
0.41623115577889447,0.46655857562729236
0.4209547738693467,0.46756629798864074
0.42567839195979895,0.4686147584194589
0.43040201005025125,0.469713025370578
0.4351256281407035,0.47055910770544873
