seed,epoch,train_loss,val_iou,lr
1,1,0.9145386646003969,0.4253062034276111,9.972883382072954e-05
1,2,0.8542651647185895,0.43544527460697297,9.891830623632339e-05
1,3,0.8350051478516095,0.44159027489338304,9.757729755661011e-05
1,4,0.8216819049055031,0.4507667837099727,9.572050015330873e-05
1,5,0.8095818832040838,0.44272667785712255,9.336825748732972e-05
1,6,0.808611552197948,0.4590110981771198,9.05463412215599e-05
1,7,0.8005027065540532,0.4574638357725746,8.728566886113101e-05
1,8,0.7972283085890187,0.46301936566940466,8.362196501476347e-05
1,9,0.7931964881739743,0.4615511118961621,7.959536998847741e-05
1,10,0.7920397382551236,0.45838021241377686,7.524999999999999e-05
1,11,0.7873746803580772,0.4768088223065163,7.06334638322521e-05
1,12,0.7838670464993699,0.46977129230351033,6.579634122155988e-05
1,13,0.7830171155109935,0.46979169862257264,6.079162869547907e-05
1,14,0.7787487893469399,0.4815322627586162,5.567415893174884e-05
1,15,0.7770232860034579,0.46586036872945547,5.05e-05
1,16,0.7797494610221728,0.4745980747360375,4.532584106825115e-05
1,17,0.775941957945467,0.4573588281850403,4.0208371304520894e-05
1,18,0.7710720389056849,0.47471415736421707,3.520365877844009e-05
1,19,0.7729204448675108,0.4654234200569854,3.036653616774789e-05
1,20,0.7675739263765046,0.4619891530305318,2.5750000000000002e-05
1,21,0.7693370389582375,0.4756415767137469,2.140463001152258e-05
