checkpoint,epoch,train_loss,val_iou
4,1,0.9674426890411999,0.3061379842655733
4,2,0.8791214937001689,0.30641222280840896
4,3,0.8595050607685408,0.29503961192180433
4,4,0.8486067684156348,0.32887385894960525
4,5,0.8453894272719674,0.3328620900857868
4,6,0.842533720320441,0.33602088435059835
4,7,0.8372396824855337,0.3230545412010688
4,8,0.836271851053519,0.33806750953365583
4,9,0.8339092441663967,0.31853277693583953
4,10,0.8332248769964739,0.330715211835508
4,11,0.8298498920594789,0.3292207257454725
4,12,0.8318051091833739,0.3237808584125228
4,13,0.8259000458580232,0.32665333613200914
