checkpoint,epoch,train_loss,val_iou
1,1,0.9656867188559369,0.31509118646165946
1,2,0.8751132091628501,0.3173066760933975
1,3,0.85954798042192,0.3036231983622099
1,4,0.8504508465148137,0.3272684808486273
1,5,0.8445403469718007,0.3417971996422381
1,6,0.8391025791353824,0.33335371142332043
1,7,0.8359179228839196,0.32768829631821295
1,8,0.8361097994329519,0.3200557032718457
1,9,0.8346805850755789,0.35725979201824787
1,10,0.8306296741200171,0.32202310297906833
1,11,0.8313032681103459,0.3126145584435007
1,12,0.8298437439594033,0.30808342276057615
1,13,0.8307542396547533,0.2981172128872124
1,14,0.8287802956294416,0.32648268410201
