seed,epoch,train_loss,val_iou,lr
3,1,0.915653781904388,0.42325834861740214,9.972883382072954e-05
3,2,0.8586487514091237,0.4296745787587141,9.891830623632339e-05
3,3,0.8350144731665724,0.4615168090074529,9.757729755661011e-05
3,4,0.8201927226494781,0.46135779631161256,9.572050015330873e-05
3,5,0.8129942673062158,0.46552418830746833,9.336825748732972e-05
3,6,0.8049133525899211,0.4607947926549533,9.05463412215599e-05
3,7,0.8025529465143227,0.46000252368963424,8.728566886113101e-05
3,8,0.7983704559428348,0.4494907320620097,8.362196501476347e-05
3,9,0.7932147032456024,0.4551225034365651,7.959536998847741e-05
3,10,0.7901626777971159,0.4349266117677177,7.524999999999999e-05
3,11,0.7866211276310867,0.4643583145508478,7.06334638322521e-05
3,12,0.7885679756565593,0.4427289126750124,6.579634122155988e-05
