seed,epoch,train_loss,val_iou,lr
5,1,0.9205986320680872,0.4351190600123536,9.972883382072954e-05
5,2,0.8562115465706833,0.4256084856520504,9.891830623632339e-05
5,3,0.8330728675787868,0.46012622665917496,9.757729755661011e-05
5,4,0.8265702129342687,0.4434245386978031,9.572050015330873e-05
5,5,0.8151054834851627,0.449434286643589,9.336825748732972e-05
5,6,0.8091209076939935,0.4370811001177597,9.05463412215599e-05
5,7,0.8007554838020337,0.44104180823687994,8.728566886113101e-05
5,8,0.7973188712810125,0.44251070843830453,8.362196501476347e-05
5,9,0.7942580722638515,0.4519460295087185,7.959536998847741e-05
5,10,0.7919265044373869,0.43893561075254794,7.524999999999999e-05
