checkpoint,epoch,train_loss,val_iou
2,1,0.9678393200126121,0.3002327090929179
2,2,0.8807329592023999,0.3300505332783416
2,3,0.861465073970963,0.32151159567587545
2,4,0.852803992610584,0.3259010237514796
2,5,0.845447629789555,0.3260563039685109
2,6,0.8413989471712854,0.3248851757559186
2,7,0.8380773696201468,0.35326891413175443
2,8,0.8368315544341149,0.34039903179564307
2,9,0.8357981497781317,0.2924955139707767
2,10,0.8334834206860335,0.34116162803454164
2,11,0.8315689642943009,0.32790424153999614
2,12,0.8282302581795273,0.3386849501746018
