seed,epoch,train_loss,val_iou,lr
4,1,0.915343075546974,0.3958805144233233,9.972883382072954e-05
4,2,0.854567531662059,0.436420556474023,9.891830623632339e-05
4,3,0.8340918143739362,0.44333098261853826,9.757729755661011e-05
4,4,0.824984871411227,0.4440436557334337,9.572050015330873e-05
4,5,0.8143693023973244,0.47077303632371226,9.336825748732972e-05
4,6,0.8088484441586261,0.4394620074579797,9.05463412215599e-05
4,7,0.8037201560498819,0.46848582329617716,8.728566886113101e-05
4,8,0.8025692486469581,0.4715439471827437,8.362196501476347e-05
4,9,0.7960096153997362,0.44730177394371773,7.959536998847741e-05
4,10,0.7946634137434082,0.4764819135778857,7.524999999999999e-05
4,11,0.7895931081547709,0.4696458374239152,7.06334638322521e-05
4,12,0.7873430734196064,0.443775507409132,6.579634122155988e-05
4,13,0.7842628904737478,0.47013862370362286,6.079162869547907e-05
4,14,0.7827887017546913,0.45575934929376255,5.567415893174884e-05
4,15,0.7799271578264421,0.4701708071713582,5.05e-05
4,16,0.7790686726407353,0.46797051984769783,4.532584106825115e-05
4,17,0.7748822631802096,0.48299701407833046,4.0208371304520894e-05
4,18,0.7761537901424249,0.471367479950573,3.520365877844009e-05
4,19,0.7735638563247454,0.47259484288929965,3.036653616774789e-05
4,20,0.7686272652389473,0.4833663404658844,2.5750000000000002e-05
4,21,0.7700318080831683,0.4716708398350086,2.140463001152258e-05
4,22,0.7703711979724376,0.4610547934989014,1.737803498523653e-05
4,23,0.7654954225204921,0.47920268168609154,1.3714331138868993e-05
4,24,0.7651342255623512,0.4713968134126684,1.0453658778440105e-05
4,25,0.7644501261061811,0.4797694296352189,7.631742512670283e-06
4,26,0.762692891267482,0.47997970435180776,5.2794998466912506e-06
4,27,0.7613097526585693,0.4769344420430541,3.4227024433898994e-06
